name,county,acres,long,lat,year,date_end,date_start,days
China Fire,Shasta,212,-122.439939,40.415108,2015,8/1/2015,7/29/2015,3.00
241 Fire,Orange,214,-117.7274,33.7626,2015,7/15/2015,7/13/2015,2.00
Peterson Fire,Lake,215,-122.879272,38.925764,2015,8/27/2015,8/22/2015,5.00
Swedes Fire,Butte,400,-121.38794,39.43963,2015,8/3/2015,7/29/2015,5.00
Calgrove Fire,Los Angeles,415,-118.535793,34.361007,2015,6/26/2015,6/24/2015,2.00
Triple Fire,Tulare,430,-118.824235,36.085212,2015,7/26/2015,7/21/2015,5.00
Anza Fire,Riverside,500,-116.5387,33.5736,2015,8/15/2015,8/10/2015,5.00
Loma Fire,Contra Costa,533,-121.833751,37.974123,2015,6/25/2015,6/24/2015,1.00
Elk Fire,Lake,673,-122,55.23,2015,9/8/2015,9/2/2015,6.00
Cienega Fire,San Benito,690,-121.32734,36.70854,2015,10/16/2015,10/12/2015,4.00
Forebay Fire,Merced,692,-121.06963,37.08312,2015,5/11/2015,5/11/2015,0.00
Corrine Fire,Madera,920,-119.523943,37.165767,2015,6/25/2015,6/18/2015,7.00
Lumpkin Fire,Butte,1040,-121.3363,39.5218,2015,9/17/2015,9/11/2015,6.00
Highway Fire,Riverside,1049,-117.642759,33.884313,2015,4/24/2015,4/18/2015,6.00
Tassajara Fire,Monterey,1086,-121.589554,36.3699644,2015,9/27/2015,9/19/2015,8.00
Solimar Fire,Ventura,1388,-119.34512,34.31953,2015,12/29/2015,12/25/2015,4.00
Saddle Fire,Trinity,1542,-123.168,40.924,2015,6/29/2015,6/10/2015,19.00
Lowell Fire,Nevada,2304,-120.882313,39.192088,2015,8/12/2015,7/25/2015,18.00
Cuesta Fire,San Luis Obispo,2446,-120.6269,35.3477,2015,8/28/2015,8/16/2015,12.00
Tesla Fire,Alameda,2850,-121.3732,37.3845,2015,8/22/2015,8/19/2015,3.00
North Fire,San Bernardino,4250,-117.478,34.339,2015,7/21/2015,7/17/2015,4.00
Frog Fire,Modoc,4863,-121.392,41.399,2015,7/31/2015,7/30/2015,1.00
Willow Fire,Madera,5702,-119.50014,37.279722,2015,8/13/2015,7/25/2015,19.00
Cabin Fire,Tulare,6980,-118.54,36.24,2015,9/5/2015,7/19/2015,48.00
Wragg Fire,Napa,8051,-122.1145,38.4994,2015,8/5/2015,7/22/2015,14.00
Dodge Fire,Lassen,10570,-120.105,40.938,2015,8/4/2015,8/3/2015,1.00
Washington Fire,Alpine,16544,-119.751944,38.598056,2015,6/22/2015,6/19/2015,3.00
Jerusalem Fire,"Lake, Napa",25118,-122.4867319,38.8142503,2015,8/25/2015,8/9/2015,16.00
Lake Fire,San Bernardino,31359,-116.8927778,34.16027778,2015,8/1/2015,6/17/2015,45.00
Rocky Fire,Lake,69636,-122.4762475,38.8863538,2015,8/14/2015,7/29/2015,16.00
Butte Fire,Butte,70868,-120.70418,38.32974,2015,10/15/2015,9/9/2015,36.00
Rough Fire,Fresno,151623,-118.905,36.874,2015,11/5/2015,7/31/2015,97.00
Chimney Fire,Tulare,1826,-118.08591,35.84883,2016,6/19/2016,6/1/2016,18.00
Soda Fire,San Luis Obispo,2000,-119.58206,35.01382,2016,6/19/2016,6/4/2016,15.00
Jacobson Fire,Tulare,10,-118.551,36.217,2016,12/19/2016,10/20/2016,60.00
Shelter Fire,Ventura,15,-116.58542,33.11645,2016,7/12/2016,7/11/2016,1.00
Ken Fire,San Bernardino,20,-117.4415,34.25858,2016,9/4/2016,9/3/2016,1.00
Mockingbird Fire,Lake,20,-122.9148951,39.1408865,2016,8/31/2016,8/30/2016,1.00
Summit Fire,Humboldt,21,-123.77832,40.9878,2016,8/19/2016,8/12/2016,7.00
Table Fire,Siskiyou,23,-122.36924,41.71847,2016,7/22/2016,7/21/2016,1.00
Stafford Fire,Humboldt,23,-124.05804,40.4572,2016,8/16/2016,8/11/2016,5.00
