name,county,acres,year,date_end,date_start,month,days,total_acres_burned,total_fires
Corrine Fire,Madera,920,2015,6/25/2015,6/18/2015,6,7,6757,3
Lumpkin Fire,Butte,1040,2015,9/17/2015,9/11/2015,9,6,72484,5
Highway Fire,Riverside,1049,2015,4/24/2015,4/18/2015,4,6,1570,3
Tassajara Fire,Monterey,1086,2015,9/27/2015,9/19/2015,9,8,1181,2
Solimar Fire,Ventura,1388,2015,12/29/2015,12/25/2015,12,4,1438,2
Saddle Fire,Trinity,1542,2015,6/29/2015,6/10/2015,6,19,1705,3
Lowell Fire,Nevada,2304,2015,8/12/2015,7/25/2015,7,18,2334,2
Cuesta Fire,San Luis Obispo,2446,2015,8/28/2015,8/16/2015,8,12,2541,2
Tesla Fire,Alameda,2850,2015,8/22/2015,8/19/2015,8,3,2850,1
North Fire,San Bernardino,4250,2015,7/21/2015,7/17/2015,7,4,35818,5
Frog Fire,Modoc,4863,2015,7/31/2015,7/30/2015,7,1,5056,3
Willow Fire,Madera,5702,2015,8/13/2015,7/25/2015,7,19,6757,3
Cabin Fire,Tulare,6980,2015,9/5/2015,7/19/2015,7,48,7496,3
Wragg Fire,Napa,8051,2015,8/5/2015,7/22/2015,7,14,33226,4
Dodge Fire,Lassen,10570,2015,8/4/2015,8/3/2015,8,1,10700,4
Washington Fire,Alpine,16544,2015,6/22/2015,6/19/2015,6,3,16544,1
Jerusalem Fire,Lake,25118,2015,8/25/2015,8/9/2015,8,16,95664,5
Jerusalem Fire,Napa,25118,2015,8/25/2015,8/9/2015,8,16,33226,4
Lake Fire,San Bernardino,31359,2015,8/1/2015,6/17/2015,6,45,35818,5
Rocky Fire,Lake,69636,2015,8/14/2015,7/29/2015,7,16,95664,5
Butte Fire,Butte,70868,2015,10/15/2015,9/9/2015,9,36,72484,5
Rough Fire,Fresno,151623,2015,11/5/2015,7/31/2015,7,97,151793,2
Chimney Fire,Tulare,1826,2016,6/19/2016,6/1/2016,6,18,6578,4
Soda Fire,San Luis Obispo,2000,2016,6/19/2016,6/4/2016,6,15,48471,4
Jacobson Fire,Tulare,10,2016,12/19/2016,10/20/2016,10,60,6578,4
Shelter Fire,Ventura,15,2016,7/12/2016,7/11/2016,7,1,2442,4
Ken Fire,San Bernardino,20,2016,9/4/2016,9/3/2016,9,1,44454,4
Mockingbird Fire,Lake,20,2016,8/31/2016,8/30/2016,8,1,4314,6
Summit Fire,Humboldt,21,2016,8/19/2016,8/12/2016,8,7,643,3
Table Fire,Siskiyou,23,2016,7/22/2016,7/21/2016,7,1,37518,6
Stafford Fire,Humboldt,23,2016,8/16/2016,8/11/2016,8,5,643,3
Keswick Fire,Shasta,24,2016,6/12/2016,6/11/2016,6,1,537,5
Bryson Fire,Monterey,25,2016,5/12/2016,5/12/2016,5,0,138770,7
Aukum Fire,El Dorado,25,2016,6/4/2016,6/3/2016,6,1,5896,4
Oak Fire,Santa Clara,25,2016,8/14/2016,8/12/2016,8,2,4638,4
Oak Fire,Santa Clara,25,2016,9/2/2016,9/1/2016,9,1,4638,4
Bailey Fire,Siskiyou,26,2016,7/20/2016,7/19/2016,7,1,37518,6
Deer Fire,Amador,26,2016,8/6/2016,8/5/2016,8,1,653,4
Rock Fire,San Diego,28,2016,7/24/2016,7/22/2016,7,2,9115,7
Gopher Fire,San Diego,28,2016,11/14/2016,11/13/2016,11,1,9115,7
Taglio Fire,Merced,30,2016,4/24/2016,4/24/2016,4,0,1276,2
70 Fire,Butte,30,2016,5/29/2016,5/29/2016,5,0,1850,9
Hidden Fire,San Benito,30,2016,6/3/2016,6/3/2016,6,0,208,3
Lone Pine Fire,Inyo,30,2016,7/2/2016,7/1/2016,7,1,5473,2
Old Fire,Butte,30,2016,9/19/2016,9/16/2016,9,3,1850,9
Clay Fire,Sacramento,32,2016,6/3/2016,6/3/2016,6,0,159,3
Frymire Fire,Tuolumne,32,2016,8/1/2016,7/30/2016,7,2,1197,3
Moffett Fire,Siskiyou,32,2016,9/13/2016,9/12/2016,9,1,37518,6
Campo Fire,Calaveras,33,2016,6/30/2016,6/27/2016,6,3,1226,6
Stagecoach Fire,Calaveras,35,2016,7/13/2016,7/12/2016,7,1,1226,6
Gopher Fire,San Diego,35,2016,8/11/2016,8/10/2016,8,1,9115,7
Mountain Fire,Shasta,35,2016,8/10/2016,8/9/2016,8,1,537,5
Knoxville Fire,Lake,36,2016,8/10/2016,8/9/2016,8,1,4314,6
Mina Fire,Mendocino,36,2016,8/31/2016,8/30/2016,8,1,86,2
Phoenix Fire,Nevada,38,2016,9/8/2016,9/7/2016,9,1,85,2
Fork Fire,Madera,38,2016,7/31/2016,7/29/2016,7,2,226,3
Franklin Fire,Contra Costa,40,2016,7/24/2016,7/24/2016,7,0,40,1
Boys Fire,Sacramento,40,2016,9/12/2016,9/11/2016,9,1,159,3
Paskenta Fire,Tehama,43,2016,6/21/2016,6/21/2016,6,0,1076,6
Kuehner Fire,Ventura,45,2016,7/1/2016,7/1/2016,7,0,2442,4
Kugelman Fire,Lake,45,2016,8/10/2016,8/9/2016,8,1,4314,6
Bell Fire,Amador,45,2016,9/25/2016,9/23/2016,9,2,653,4
Laguna Fire,Orange,47,2016,6/29/2016,6/26/2016,6,3,197,2
Auburn Fire,Nevada,47,2016,9/20/2016,9/17/2016,9,3,85,2
70 Fire,Butte,49,2016,6/21/2016,6/21/2016,6,0,1850,9
Ruff Fire,Mendocino,50,2016,9/15/2016,9/10/2016,9,5,86,2
Spring Fire,San Bernardino,50,2016,9/9/2016,9/7/2016,9,2,44454,4
Storksbill Fire,El Dorado,50,2016,7/23/2016,7/22/2016,7,1,5896,4
Lowe Fire,Monterey,52,2016,6/24/2016,6/23/2016,6,1,138770,7
Baker Fire,Calaveras,57,2016,7/22/2016,7/21/2016,7,1,1226,6
Oak Fire,Solano,57,2016,7/22/2016,7/22/2016,7,0,57,1
Cotton Fire,Kern,61,2016,6/12/2016,6/11/2016,6,1,81104,10
Creek Fire,Napa,65,2016,10/12/2016,10/10/2016,10,2,65,1
Foothill Fire,Lake,69,2016,7/22/2016,7/19/2016,7,3,4314,6
Pala Fire,San Diego,70,2016,6/7/2016,5/31/2016,5,7,9115,7
Arroyo Fire,Monterey,70,2016,6/20/2016,6/18/2016,6,2,138770,7
Newmark Fire,Fresno,70,2016,9/24/2016,9/23/2016,9,1,15429,11
Lake Fire,Shasta,75,2016,9/12/2016,9/10/2016,9,2,537,5
Sherwood Fire,Ventura,78,2016,7/15/2016,7/13/2016,7,2,2442,4
Hoag Fire,Tehama,80,2016,6/11/2016,6/11/2016,6,0,1076,6
Baker Fire,Tehama,80,2016,8/4/2016,8/3/2016,8,1,1076,6
Old Fire,San Benito,83,2016,6/12/2016,6/12/2016,6,0,208,3
Dunnigan Fire,Yolo,84,2016,7/15/2016,7/15/2016,7,0,6092,3
Tulloch Fire,Tuolumne,85,2016,6/1/2016,5/30/2016,5,2,1197,3
Grub Fire,Madera,85,2016,8/6/2016,8/4/2016,8,2,226,3
Frazier Fire,San Luis Obispo,86,2016,6/29/2016,6/27/2016,6,2,48471,4
Scott Fire,Sacramento,87,2016,7/11/2016,7/10/2016,7,1,159,3
Moore Fire,Placer,88,2016,6/21/2016,6/21/2016,6,0,5902,3
Flores Fire,Tehama,88,2016,7/1/2016,7/1/2016,7,0,1076,6
Santos Fire,Butte,88,2016,8/30/2016,8/26/2016,8,4,1850,9
Dunstone Fire,Butte,91,2016,5/27/2016,5/27/2016,5,0,1850,9
Mercury Fire,San Benito,95,2016,7/10/2016,7/9/2016,7,1,208,3
Feather Fire,San Diego,100,2016,7/20/2016,7/18/2016,7,2,9115,7
Bradley Fire,Monterey,100,2016,7/23/2016,7/22/2016,7,1,138770,7
Hart Fire,Kern,100,2016,8/7/2016,8/4/2016,8,3,81104,10
Cow Fire,Shasta,100,2016,9/25/2016,9/25/2016,9,0,537,5
Broken Fire,Madera,103,2016,7/6/2016,7/4/2016,7,2,226,3
Coal Fire,Butte,112,2016,6/20/2016,6/20/2016,6,0,1850,9
Sierra Fire,Santa Clara,114,2016,7/31/2016,7/30/2016,7,1,4638,4
Coe Fire,Stanislaus,120,2016,6/9/2016,6/7/2016,6,2,120,1
Green Fire,Fresno,123,2016,7/16/2016,7/15/2016,7,1,15429,11
Bangor Fire,Butte,130,2016,9/23/2016,9/22/2016,9,1,1850,9
Avocado Fire,Fresno,132,2016,5/17/2016,5/15/2016,5,2,15429,11
Famoso Fire,Kern,138,2016,7/16/2016,7/15/2016,7,1,81104,10
Temecula Fire,Riverside,139,2016,6/7/2016,6/4/2016,6,3,139,1
Frame Fire,Fresno,145,2016,7/7/2016,7/4/2016,7,3,15429,11
Bird Fire,San Joaquin,147,2016,8/20/2016,8/20/2016,8,0,147,1
Shedd Fire,San Luis Obispo,150,2016,5/10/2016,5/10/2016,5,0,48471,4
Holy Fire,Orange,150,2016,9/5/2016,8/31/2016,8,5,197,2
Old Fire,Del Norte,150,2016,9/17/2016,9/13/2016,9,4,150,1
Wheatland Fire,Los Angeles,156,2016,5/25/2016,5/23/2016,5,2,6080,3
Sunny Fire,Fresno,158,2016,9/6/2016,9/3/2016,9,3,15429,11
Athens Fire,Placer,169,2016,5/19/2016,5/17/2016,5,2,5902,3
Emerald Fire,El Dorado,176,2016,10/17/2016,10/14/2016,10,3,5896,4
Big Fire,Fresno,188,2016,7/13/2016,7/11/2016,7,2,15429,11
Camanche Fire,Amador,210,2016,6/21/2016,6/17/2016,6,4,653,4
Grant Fire,Alameda,211,2016,6/26/2016,6/25/2016,6,1,211,1
Reservoir Fire,Lake,215,2016,6/28/2016,6/26/2016,6,2,4314,6
Washington Fire,Santa Barbara,215,2016,9/27/2016,9/22/2016,9,5,20207,3
Onyx Fire,Kern,221,2016,7/14/2016,7/13/2016,7,1,81104,10
Tobin Fire,Plumas,248,2016,10/6/2016,9/26/2016,9,10,248,1
Creek Fire,Yolo,277,2016,6/27/2016,6/26/2016,6,1,6092,3
DeWolf Fire,Fresno,278,2016,5/25/2016,5/25/2016,5,0,15429,11
Butte Fire,Sutter,300,2016,9/20/2016,9/20/2016,9,0,300,1
Fiddler Fire,Shasta,303,2016,7/12/2016,7/8/2016,7,4,537,5
Havilah Fire,Kern,304,2016,8/28/2016,8/28/2016,8,0,81104,10
Appaloosa Fire,Calaveras,310,2016,7/8/2016,7/2/2016,7,6,1226,6
Hog Fire,Tehama,321,2016,9/13/2016,9/13/2016,9,0,1076,6
Pacheco Fire,Calaveras,341,2016,7/16/2016,7/12/2016,7,4,1226,6
Rancho Fire,Amador,372,2016,6/29/2016,6/28/2016,6,1,653,4
Howard Fire,Modoc,380,2016,9/14/2016,9/11/2016,9,3,3032,2
Beale Fire,Yuba,389,2016,8/18/2016,8/18/2016,8,0,389,1
Tule Fire,Tulare,395,2016,11/8/2016,8/22/2016,8,78,6578,4
Willow Fire,Calaveras,450,2016,8/31/2016,8/28/2016,8,3,1226,6
Colyear Fire,Tehama,464,2016,7/4/2016,6/30/2016,6,4,1076,6
99 Fire,Butte,520,2016,8/3/2016,8/2/2016,8,1,1850,9
Fort Fire,Kern,554,2016,7/10/2016,7/8/2016,7,2,81104,10
Tully Fire,Humboldt,599,2016,9/4/2016,8/22/2016,8,13,643,3
Range Fire,Kern,600,2016,8/29/2016,8/26/2016,8,3,81104,10
Marina Fire,Mono,650,2016,7/9/2016,6/25/2016,6,14,650,1
Grade Fire,Siskiyou,710,2016,8/30/2016,8/24/2016,8,6,37518,6
Saddle Fire,Butte,800,2016,9/12/2016,9/5/2016,9,7,1850,9
Marshes Fire,Tuolumne,1080,2016,10/4/2016,9/26/2016,9,8,1197,3
Sage Fire,Los Angeles,1100,2016,7/16/2016,7/9/2016,7,7,6080,3
Roblar Fire,San Diego,1245,2016,7/30/2016,7/21/2016,7,9,9115,7
Dinosaur Fire,Merced,1246,2016,6/26/2016,6/25/2016,6,1,1276,2
Sawmill Fire,Sonoma,1547,2016,9/29/2016,9/25/2016,9,4,1547,1
Deer Fire,Kern,1785,2016,7/8/2016,7/1/2016,7,7,81104,10
Sacata Fire,Fresno,2100,2016,10/20/2016,10/11/2016,10,9,15429,11
Goose Fire,Fresno,2241,2016,8/9/2016,7/30/2016,7,10,15429,11
Pine Fire,Ventura,2304,2016,6/30/2016,6/30/2016,6,0,2442,4
Coleman Fire,Monterey,2520,2016,6/20/2016,6/4/2016,6,16,138770,7
Willard Fire,Lassen,2575,2016,9/22/2016,9/11/2016,9,11,2575,1
Soup Complex,Modoc,2652,2016,10/13/2016,9/17/2016,9,26,3032,2
Pony Fire,Siskiyou,2860,2016,11/8/2016,6/7/2016,6,154,37518,6
Curry Fire,Fresno,2944,2016,7/5/2016,7/1/2016,7,4,15429,11
Metz Fire,Monterey,3876,2016,5/25/2016,5/22/2016,5,3,138770,7
Clayton Fire,Lake,3929,2016,8/26/2016,8/13/2016,8,13,4314,6
Meadow Fire,Tulare,4347,2016,12/19/2016,10/29/2016,10,51,6578,4
Loma Fire,Santa Clara,4474,2016,10/12/2016,9/26/2016,9,16,4638,4
Marek Fire,Los Angeles,4824,2016,11/14/2016,11/14/2016,11,0,6080,3
Owens River Fire,Inyo,5443,2016,9/18/2016,9/17/2016,9,1,5473,2
Trailhead Fire,El Dorado,5645,2016,7/18/2016,6/28/2016,6,20,5896,4
Trailhead Fire,Placer,5645,2016,7/18/2016,6/28/2016,6,20,5902,3
Cold Fire,Yolo,5731,2016,8/12/2016,8/2/2016,8,10,6092,3
Mineral Fire,Fresno,7050,2016,8/18/2016,8/8/2016,8,10,15429,11
Sherpa Fire,Santa Barbara,7474,2016,7/12/2016,6/15/2016,6,27,20207,3
