name,county,acres,year,date_end,date_start,month,days,total_acres_burned,total_fires
Soda Fire,San Luis Obispo,21,2017,1/9/2018,10/20/2017,10,81,35496,24
Refuge Fire,Napa,22,2017,1/9/2018,6/13/2017,6,210,141423,6
Gold Fire,Calaveras,22,2017,1/9/2018,7/5/2017,7,188,343,5
Edwards Fire,Alameda,22,2017,1/9/2018,9/26/2017,9,105,537,5
Portola Fire,Riverside,23,2017,1/9/2018,10/10/2017,10,91,17013,52
Ribbonwood Fire,San Diego,25,2017,1/9/2018,5/24/2017,5,230,10892,19
5 Fire,Los Angeles,25,2017,1/9/2018,6/3/2017,6,220,31240,13
Road Fire,Madera,25,2017,1/9/2018,6/18/2017,6,205,15814,9
Sloane Fire,San Diego,25,2017,1/9/2018,6/27/2017,6,196,10892,19
Hopper Fire,Shasta,25,2017,1/9/2018,9/1/2017,9,130,1399,10
Cove Fire,San Luis Obispo,25,2017,1/9/2018,9/23/2017,9,108,35496,24
Border 9 Fire,San Diego,25,2017,1/9/2018,9/7/2017,9,124,10892,19
Wilson Fire,San Diego,25,2017,1/9/2018,10/15/2017,10,86,10892,19
Fairview Fire,Riverside,26,2017,1/9/2018,6/1/2017,6,222,17013,52
Trellis Fire,Riverside,26,2017,1/9/2018,6/18/2017,6,205,17013,52
Jasper Fire,Yuba,26,2017,1/9/2018,9/26/2017,9,105,10981,6
Vernon Fire,Riverside,27,2017,1/9/2018,6/3/2017,6,220,17013,52
4-10 Fire,Modoc,27,2017,1/9/2018,8/30/2017,8,132,9161,8
Nuevo Fire,Riverside,28,2017,1/9/2018,6/15/2017,6,208,17013,52
Shore Fire,Del Norte,28,2017,1/9/2018,6/26/2017,6,197,387,3
4-4 Fire,Modoc,28,2017,1/9/2018,8/30/2017,8,132,9161,8
32 Fire,Butte,28,2017,1/9/2018,9/25/2017,9,106,25701,17
Benson Fire,Tehama,29,2017,1/9/2018,7/8/2017,7,185,588,11
Ice Fire,El Dorado,29,2017,1/9/2018,10/10/2017,10,91,1147,9
Timber Fire,Riverside,30,2017,1/9/2018,7/3/2017,7,190,17013,52
Blocksburg Fire,Humboldt,30,2017,1/9/2018,8/3/2017,8,159,228,6
Castaic Fire,Los Angeles,30,2017,3/22/2018,8/31/2017,8,203,31240,13
Hub Fire,Kern,31,2017,1/9/2018,5/12/2017,5,242,13080,24
Juniper Fire,Fresno,31,2017,1/9/2018,8/23/2017,8,139,21403,24
York Fire,Monterey,31,2017,1/9/2018,10/15/2017,10,86,2212,14
Pleyto Fire,Monterey,32,2017,1/9/2018,6/11/2017,6,212,2212,14
Shore Fire,Monterey,32,2017,1/9/2018,6/16/2017,6,207,2212,14
Washington Fire,Riverside,32,2017,1/9/2018,7/13/2017,7,180,17013,52
Sandy Fire,Trinity,32,2017,1/9/2018,8/2/2017,8,160,40211,6
Sandy Fire,Trinity,32,2017,1/9/2018,8/2/2017,8,160,40211,6
Creek Fire,Kern,33,2017,1/9/2018,6/4/2017,6,219,13080,24
Valley Fire,Riverside,33,2017,1/9/2018,6/13/2017,6,210,17013,52
Christmas Fire,Riverside,33,2017,1/9/2018,7/7/2017,7,186,17013,52
Valley Fire,San Benito,34,2017,1/9/2018,7/4/2017,7,189,102,3
Miller Fire,Humboldt,34,2017,1/9/2018,8/31/2017,8,131,228,6
Ellie Fire,Riverside,34,2017,1/9/2018,9/10/2017,9,121,17013,52
Meyers Fire,San Bernardino,34,2017,1/9/2018,12/5/2017,12,35,4065,17
Smiley Fire,Riverside,35,2017,1/9/2018,5/21/2017,5,233,17013,52
Breckenridge Fire,Kern,35,2017,1/9/2018,6/9/2017,6,214,13080,24
Latrobe Fire,Sacramento,35,2017,1/9/2018,6/27/2017,6,196,1371,3
Jurupa Fire,Riverside,35,2017,1/9/2018,7/4/2017,7,189,17013,52
Spaletta Fire,Marin,35,2017,1/9/2018,7/12/2017,7,181,73,2
Melba Fire,Riverside,35,2017,1/9/2018,9/29/2017,9,102,17013,52
Black Fire,San Diego,36,2017,1/9/2018,6/25/2017,6,198,10892,19
Banderilla Fire,Mariposa,36,2017,1/9/2018,7/7/2017,7,186,98634,11
Bridge Fire,Shasta,37,2017,1/9/2018,10/31/2017,10,70,1399,10
Red Fire,Tuolumne,38,2017,1/9/2018,6/11/2017,6,212,896,5
Pine Fire,Marin,38,2017,1/9/2018,6/27/2017,6,196,73,2
Toll Fire,Solano,39,2017,1/9/2018,6/22/2017,6,201,51818,4
Spenceville Fire,Yuba,39,2017,1/9/2018,7/24/2017,7,169,10981,6
Table Fire,Tuolumne,39,2017,3/26/2018,9/19/2017,9,188,896,5
Reservation Fire,Monterey,40,2017,1/9/2018,7/16/2017,7,177,2212,14
Murphy Fire,Lake,40,2017,1/9/2018,7/17/2017,7,176,2775,8
Vestal Fire,Tehama,40,2017,1/9/2018,8/26/2017,8,136,588,11
Translator Fire,Humboldt,40,2017,1/9/2018,8/28/2017,8,134,228,6
Hole Fire,Del Norte,40,2017,1/9/2018,9/12/2017,9,119,387,3
Lakewood Fire,Kern,40,2017,1/9/2018,9/29/2017,9,102,13080,24
Jones Fire,Shasta,40,2017,1/9/2018,10/8/2017,10,93,1399,10
Freeway Fire,San Bernardino,40,2017,1/9/2018,10/24/2017,10,77,4065,17
Riverdale Fire,Riverside,40,2017,1/9/2018,12/4/2017,12,36,17013,52
Palm Fire,Riverside,40,2017,1/9/2018,11/14/2017,11,56,17013,52
Feed Fire,Kern,41,2017,1/9/2018,5/14/2017,5,240,13080,24
Stokes Fire,Los Angeles,41,2017,1/9/2018,6/29/2017,6,194,31240,13
Ward Fire,Siskiyou,41,2017,1/9/2018,8/13/2017,8,149,215695,14
Jones Fire,Modoc,42,2017,1/9/2018,6/3/2017,6,220,9161,8
Paskenta Fire,Tehama,42,2017,1/9/2018,6/24/2017,6,199,588,11
Lockwood Fire,Monterey,42,2017,1/9/2018,6/29/2017,6,194,2212,14
Pine Fire,Monterey,43,2017,1/9/2018,9/11/2017,9,120,2212,14
Roser Fire,Tehama,43,2017,1/9/2018,11/2/2017,11,68,588,11
Mines Fire,Alameda,44,2017,1/9/2018,8/27/2017,8,135,537,5
Grace Fire,Shasta,45,2017,1/9/2018,4/3/2017,4,281,1399,10
Pozo Fire,San Luis Obispo,45,2017,1/9/2018,10/9/2017,10,92,35496,24
Riverbottom Fire,Riverside,45,2017,1/9/2018,12/21/2017,12,19,17013,52
Whitepine Fire,Siskiyou,46,2017,1/9/2018,6/6/2017,6,217,215695,14
Hidden Fire,San Bernardino,46,2017,1/9/2018,7/12/2017,7,181,4065,17
Canyon Fire,Riverside,46,2017,1/9/2018,8/27/2017,8,135,17013,52
Zenon Fire,San Luis Obispo,47,2017,1/9/2018,7/20/2017,7,173,35496,24
Bitterwater Fire,San Benito,47,2017,1/9/2018,11/25/2017,11,45,102,3
Serenas Fire,Riverside,48,2017,1/9/2018,5/28/2017,5,226,17013,52
Power Fire,Madera,48,2017,1/9/2018,9/20/2017,9,111,15814,9
Douglas Fire,San Diego,50,2017,1/9/2018,6/13/2017,6,210,10892,19
Lago Fire,Riverside,50,2017,1/9/2018,7/3/2017,7,190,17013,52
Grade Fire,Ventura,50,2017,1/9/2018,7/4/2017,7,189,282029,3
West Fire,Yuba,50,2017,1/9/2018,7/8/2017,7,185,10981,6
Mesa Fire,Santa Barbara,50,2017,1/9/2018,7/17/2017,7,176,301035,7
Calgary Fire,Kern,50,2017,1/9/2018,8/5/2017,8,157,13080,24
Skeggs Fire,San Mateo,50,2017,1/9/2018,9/11/2017,9,120,50,1
Tank Fire,Kern,50,2017,1/9/2018,10/26/2017,10,75,13080,24
Wilson Fire,Los Angeles,50,2017,1/9/2018,10/17/2017,10,84,31240,13
Extension Fire,Riverside,50,2017,1/9/2018,10/23/2017,10,78,17013,52
Weller Fire,Santa Clara,51,2017,1/9/2018,7/26/2017,7,167,639,8
Quimby Fire,Santa Clara,54,2017,1/9/2018,6/21/2017,6,202,639,8
Bradley Fire,Siskiyou,54,2017,1/9/2018,8/28/2017,8,134,215695,14
Bradley Fire,Siskiyou,54,2017,1/9/2018,8/28/2017,8,134,215695,14
Topanga Fire,Los Angeles,55,2017,1/9/2018,6/29/2017,6,194,31240,13
Owens Fire,Siskiyou,55,2017,1/9/2018,8/29/2017,8,133,215695,14
Estate Fire,Solano,55,2017,1/9/2018,9/23/2017,9,108,51818,4
Bogus Fire,Siskiyou,56,2017,1/9/2018,6/18/2017,6,205,215695,14
Freedom Fire,Fresno,57,2017,1/9/2018,7/4/2017,7,189,21403,24
Live Fire,Tehama,57,2017,1/9/2018,7/28/2017,7,165,588,11
Tower Fire,San Luis Obispo,58,2017,1/9/2018,7/7/2017,7,186,35496,24
Hogback Fire,Tulare,58,2017,1/9/2018,7/18/2017,7,175,61147,11
Slides Fire,Lake,58,2017,1/9/2018,9/12/2017,9,119,2775,8
Silver Fire,Fresno,58,2017,1/9/2018,10/11/2017,10,90,21403,24
Quail Fire,Calaveras,59,2017,1/9/2018,7/12/2017,7,181,343,5
Fox Fire,Tulare,59,2017,1/9/2018,7/17/2017,7,176,61147,11
Bolla Fire,Tehama,60,2017,1/9/2018,6/18/2017,6,205,588,11
Lake Fire,Stanislaus,62,2017,1/9/2018,7/8/2017,7,185,7155,6
Bottle Fire,Lake,62,2017,1/9/2018,8/8/2017,8,154,2775,8
Montezuma Fire,San Diego,62,2017,1/9/2018,8/26/2017,8,136,10892,19
Westfall Fire,Mariposa,63,2017,1/9/2018,6/15/2017,6,208,98634,11
Placentia Fire,Riverside,63,2017,1/9/2018,7/28/2017,7,165,17013,52
Orange Fire,Stanislaus,65,2017,1/9/2018,6/21/2017,6,202,7155,6
River Fire,Lassen,67,2017,1/9/2018,6/4/2017,6,219,110006,7
Clay Fire,Sacramento,68,2017,1/9/2018,6/1/2017,6,222,1371,3
Hill Fire,Fresno,69,2017,1/9/2018,8/27/2017,8,135,21403,24
Manning Fire,Fresno,70,2017,1/9/2018,5/19/2017,5,235,21403,24
Felipe Fire,Santa Clara,70,2017,1/9/2018,7/10/2017,7,183,639,8
Sand Fire,Colusa,70,2017,1/9/2018,7/17/2017,7,176,70,1
Camatta Fire,San Luis Obispo,70,2017,1/9/2018,8/2/2017,8,160,35496,24
Ellis Fire,Riverside,72,2017,1/9/2018,7/18/2017,7,175,17013,52
Lynch Fire,San Luis Obispo,73,2017,1/9/2018,10/13/2017,10,88,35496,24
Axel Fire,El Dorado,74,2017,1/9/2018,7/8/2017,7,185,1147,9
Bryant Fire,San Bernardino,74,2017,1/9/2018,7/7/2017,7,186,4065,17
Linne Fire,San Luis Obispo,74,2017,1/9/2018,9/26/2017,9,105,35496,24
Tivy Fire,Fresno,76,2017,1/9/2018,6/11/2017,6,212,21403,24
McCourtney Fire (Wind Complex),Nevada,76,2017,2/9/2018,10/9/2017,10,123,1343,7
Spring Fire,Tehama,78,2017,1/9/2018,6/4/2017,6,219,588,11
Castro Fire,Santa Clara,78,2017,1/9/2018,7/23/2017,7,170,639,8
Fountain Fire,Tulare,79,2017,1/9/2018,5/31/2017,5,223,61147,11
Mills File,Plumas,79,2017,1/9/2018,9/3/2017,9,128,8170,5
Holiday Fire,El Dorado,80,2017,1/9/2018,12/28/2017,12,12,1147,9
Loma Fire,San Diego,81,2017,1/9/2018,10/13/2017,10,88,10892,19
Country Fire,Monterey,82,2017,1/9/2018,8/7/2017,8,155,2212,14
Ranch Fire,Santa Clara,85,2017,1/9/2018,6/29/2017,6,194,639,8
Dollar Fire,San Bernardino,85,2017,1/9/2018,7/22/2017,7,171,4065,17
Saw Fire,Humboldt,85,2017,1/9/2018,8/3/2017,8,159,228,6
Marlborough Fire,Riverside,85,2017,1/9/2018,8/31/2017,8,131,17013,52
Vista Fire,Ventura,86,2017,1/9/2018,10/24/2017,10,77,282029,3
Ridge Fire,Lake,87,2017,1/9/2018,10/6/2017,10,95,2775,8
Daulton Fire,Madera,90,2017,1/9/2018,7/7/2017,7,186,15814,9
Wilbur Fire,Butte,91,2017,1/9/2018,6/6/2017,6,217,25701,17
Auberry Fire,Fresno,91,2017,1/9/2018,7/5/2017,7,188,21403,24
Reed Fire,Riverside,92,2017,1/9/2018,8/7/2017,8,155,17013,52
Oak Fire,San Bernardino,99,2017,1/9/2018,11/29/2017,11,41,4065,17
Mile Fire,San Bernardino,100,2017,1/9/2018,7/31/2017,7,162,4065,17
Tilton Fire,Santa Clara,100,2017,1/9/2018,8/11/2017,8,151,639,8
Parkfield Fire,Fresno,100,2017,1/9/2018,9/3/2017,9,128,21403,24
Bally Fire,Santa Clara,100,2017,1/9/2018,9/3/2017,9,128,639,8
Timm Fire,Solano,100,2017,1/9/2018,10/2/2017,10,99,51818,4
Long Fire,Lake,100,2017,1/9/2018,10/14/2017,10,87,2775,8
Oakmont Fire (Central LNU Complex),Sonoma,100,2017,4/5/2018,10/14/2017,10,173,100546,8
Church Fire,San Diego,100,2017,1/9/2018,10/21/2017,10,80,10892,19
Lariat Fire,Santa Clara,101,2017,1/9/2018,7/11/2017,7,182,639,8
Coalinga Fire,Fresno,102,2017,1/9/2018,8/30/2017,8,132,21403,24
Humboldt Fire,Butte,103,2017,4/12/2018,7/19/2017,7,267,25701,17
Canyon Fire,Riverside,105,2017,1/9/2018,6/15/2017,6,208,17013,52
Poly Fire,San Luis Obispo,105,2017,1/9/2018,9/26/2017,9,105,35496,24
Lone Fire,Butte,111,2017,1/9/2018,6/22/2017,6,201,25701,17
Flat Fire,Fresno,111,2017,1/9/2018,8/26/2017,8,136,21403,24
Canyon Fire,Napa,114,2017,1/9/2018,8/11/2017,8,151,141423,6
Fallon Fire,Alameda,116,2017,1/9/2018,10/17/2017,10,84,537,5
Maria Fire,Calaveras,117,2017,1/9/2018,7/17/2017,7,176,343,5
Lamb Fire,Riverside,120,2017,1/9/2018,5/25/2017,5,229,17013,52
Margarita Fire,San Luis Obispo,120,2017,1/9/2018,9/3/2017,9,128,35496,24
Stewart Fire,Riverside,122,2017,1/9/2018,8/4/2017,8,158,17013,52
Twist Fire,Tuolumne,124,2017,1/9/2018,7/30/2017,7,163,896,5
Coronado Fire,Mariposa,125,2017,1/9/2018,8/13/2017,8,149,98634,11
Tumey Fire,Fresno,126,2017,1/9/2018,4/29/2017,4,255,21403,24
Oak Fire,Shasta,128,2017,1/9/2018,7/1/2017,7,192,1399,10
Olive Fire,San Luis Obispo,130,2017,1/9/2018,5/2/2017,5,252,35496,24
Border Fire,San Diego,130,2017,1/9/2018,9/1/2017,9,130,10892,19
Point Fire,Calaveras,130,2017,1/9/2018,10/9/2017,10,92,343,5
Skyway Fire,Butte,134,2017,1/9/2018,6/16/2017,6,207,25701,17
King Fire,Tulare,135,2017,1/9/2018,6/13/2017,6,210,61147,11
Gorman Fire,Los Angeles,135,2017,1/9/2018,7/28/2017,7,165,31240,13
French Fire,El Dorado,136,2017,1/9/2018,9/17/2017,9,114,1147,9
Ranch Fire,El Dorado,140,2017,1/9/2018,7/26/2017,7,167,1147,9
Soda Fire,Butte,143,2017,1/9/2018,9/28/2017,9,103,25701,17
Grape Fire,Mendocino,146,2017,1/9/2018,9/19/2017,9,112,37589,4
River Fire,Trinity,148,2017,1/9/2018,10/14/2017,10,87,40211,6
Tower Fire,San Bernardino,150,2017,1/9/2018,4/30/2017,4,254,4065,17
41 Fire,Madera,150,2017,1/9/2018,5/17/2017,5,237,15814,9
Lucy Fire,San Luis Obispo,150,2017,1/9/2018,6/14/2017,6,209,35496,24
Olive Fire,San Luis Obispo,150,2017,1/9/2018,7/24/2017,7,169,35496,24
Honey Fire,Butte,150,2017,1/9/2018,10/9/2017,10,92,25701,17
Smiley Fire,Riverside,153,2017,1/9/2018,6/18/2017,6,205,17013,52
Hill Fire,Siskiyou,155,2017,1/9/2018,7/29/2017,7,164,215695,14
Corral Fire,Alameda,155,2017,4/5/2018,9/19/2017,9,198,537,5
26 Fire,Madera,157,2017,1/9/2018,6/7/2017,6,216,15814,9
Peg Fire,Lassen,157,2017,1/9/2018,8/26/2017,8,136,110006,7
Honcut Fire,Butte,166,2017,1/9/2018,7/10/2017,7,183,25701,17
Evans Fire,Sierra,168,2017,1/9/2018,6/19/2017,6,204,915,2
Hills Fire,Riverside,168,2017,1/9/2018,8/19/2017,8,143,17013,52
High Fire,San Bernardino,170,2017,1/9/2018,7/23/2017,7,170,4065,17
Laverne Fire,Shasta,180,2017,1/9/2018,7/18/2017,7,175,1399,10
Quarry Fire,Kern,183,2017,1/9/2018,10/12/2017,10,89,13080,24
Rolling Fire,Kern,184,2017,4/3/2018,10/15/2017,10,170,13080,24
Wild Fire,Fresno,186,2017,1/9/2018,6/11/2017,6,212,21403,24
Toll Fire,Plumas,186,2017,1/9/2018,8/20/2017,8,142,8170,5
Wasioja Fire,Santa Barbara,190,2017,1/9/2018,5/20/2017,5,234,301035,7
Tehama Fire,Tehama,194,2017,1/9/2018,10/26/2017,10,75,588,11
Rose Fire,Riverside,200,2017,1/9/2018,7/31/2017,7,162,17013,52
Eclipse Fire,San Diego,200,2017,1/9/2018,8/21/2017,8,141,10892,19
Range Fire,Alameda,200,2017,1/9/2018,8/22/2017,8,140,537,5
Skeleton Fire,Lake,200,2017,1/9/2018,9/12/2017,9,119,2775,8
Eagle Fire,Riverside,205,2017,1/9/2018,7/4/2017,7,189,17013,52
Bodfish Fire,Kern,206,2017,1/9/2018,6/10/2017,6,213,13080,24
Arrow Fire,San Luis Obispo,225,2017,1/9/2018,5/15/2017,5,239,35496,24
Camp Fire,San Luis Obispo,225,2017,1/9/2018,5/18/2017,5,236,35496,24
Spring Fire,Mariposa,225,2017,1/9/2018,7/2/2017,7,191,98634,11
Deer Complex,Contra Costa,231,2017,1/9/2018,7/8/2017,7,185,621,3
Largo Fire,El Dorado,236,2017,1/9/2018,7/30/2017,7,163,1147,9
Murphy Fire,Fresno,237,2017,1/9/2018,9/19/2017,9,112,21403,24
Huasna Fire,San Luis Obispo,245,2017,1/9/2018,9/20/2017,9,111,35496,24
Lost Fire,San Diego,255,2017,4/12/2018,7/22/2017,7,264,10892,19
Little Mountain Fire,San Bernardino,260,2017,1/9/2018,12/5/2017,12,35,4065,17
Bravo Fire,Kern,288,2017,1/9/2018,5/15/2017,5,239,13080,24
Liberty Fire,Riverside,300,2017,1/9/2018,12/7/2017,12,33,17013,52
Marble Fire,Del Norte,319,2017,1/9/2018,7/19/2017,7,174,387,3
Bryant Fire,San Bernardino,325,2017,1/9/2018,8/3/2017,8,159,4065,17
Rose Fire,Kern,338,2017,1/9/2018,8/10/2017,8,152,13080,24
Dinely Fire,Tulare,339,2017,1/9/2018,6/7/2017,6,216,61147,11
Stone Fire,San Luis Obispo,340,2017,1/9/2018,7/9/2017,7,184,35496,24
Creek Fire,Fresno,357,2017,1/9/2018,6/23/2017,6,200,21403,24
Willow Fire,Contra Costa,370,2017,1/9/2018,7/8/2017,7,185,621,3
Chris Fire,Mono,370,2017,1/9/2018,11/13/2017,11,57,9295,2
West Fire,Modoc,380,2017,1/9/2018,4/3/2017,4,281,9161,8
Bear Fire,Santa Cruz,391,2017,1/9/2018,10/16/2017,10,85,391,1
Pleasant Fire,Nevada,392,2017,1/9/2018,8/30/2017,8,132,1343,7
Sonoma Fire,Fresno,400,2017,1/9/2018,5/10/2017,5,244,21403,24
Jennings Fire,San Diego,400,2017,1/9/2018,7/11/2017,7,182,10892,19
Dode Fire,Modoc,410,2017,1/9/2018,7/13/2017,7,180,9161,8
Elephant Fire,Tulare,416,2017,1/9/2018,7/20/2017,7,173,61147,11
Skirball Fire,Los Angeles,422,2017,1/23/2018,12/6/2017,12,48,31240,13
Table Fire,El Dorado,426,2017,1/9/2018,10/13/2017,10,88,1147,9
Rucker Fire,Santa Barbara,444,2017,1/9/2018,9/29/2017,9,102,301035,7
Monterey Fire,Fresno,450,2017,1/9/2018,6/11/2017,6,212,21403,24
Bridge Fire,San Bernardino,460,2017,4/12/2018,7/14/2017,7,272,4065,17
Red Fire,San Luis Obispo,460,2017,1/9/2018,8/2/2017,8,160,35496,24
Eastman Fire,Madera,483,2017,1/9/2018,9/18/2017,9,113,15814,9
Deluz Fire,San Diego,486,2017,1/9/2018,5/19/2017,5,235,10892,19
Fay Fire,Siskiyou,496,2017,1/9/2018,7/5/2017,7,188,215695,14
Ming Fire,Kern,506,2017,1/9/2018,5/20/2017,5,234,13080,24
W-2 Fire,Lassen,530,2017,1/9/2018,8/6/2017,8,156,110006,7
Ben Fire,Mariposa,558,2017,1/9/2018,6/28/2017,6,195,98634,11
Battle Fire,Modoc,562,2017,1/9/2018,6/28/2017,6,195,9161,8
Mias Fire,Riverside,600,2017,1/9/2018,8/14/2017,8,148,17013,52
Mart Fire,San Bernardino,670,2017,1/9/2018,6/27/2017,6,196,4065,17
Jacksonville Fire,Tuolumne,675,2017,1/9/2018,7/29/2017,7,164,896,5
Peak Fire,Mariposa,680,2017,1/9/2018,9/3/2017,9,128,98634,11
Farad Fire,Sierra,747,2017,1/9/2018,7/10/2017,7,183,915,2
El Dorado Fire,Fresno,750,2017,1/9/2018,4/28/2017,4,256,21403,24
Placerita Fire,Los Angeles,760,2017,1/9/2018,6/25/2017,6,198,31240,13
Yankee Fire,San Luis Obispo,775,2017,1/9/2018,8/11/2017,8,151,35496,24
Lobo Fire (Wind Complex),Nevada,821,2017,2/9/2018,10/8/2017,10,124,1343,7
Lake Fire,Los Angeles,850,2017,1/9/2018,6/17/2017,6,206,31240,13
Poslin Fire,Lassen,859,2017,1/9/2018,8/6/2017,8,156,110006,7
Wildomar Fire,Riverside,866,2017,1/9/2018,10/26/2017,10,75,17013,52
Beale Fire,Yuba,867,2017,1/9/2018,8/20/2017,8,142,10981,6
Grade Fire,Mendocino,900,2017,1/9/2018,7/16/2017,7,177,37589,4
Berry Fire,Shasta,900,2017,1/9/2018,9/11/2017,9,120,1399,10
Range Fire,San Diego,1000,2017,1/9/2018,5/25/2017,5,229,10892,19
Chilcoot Fire,Plumas,1020,2017,1/9/2018,8/6/2017,8,156,8170,5
Mission Fire,Madera,1037,2017,9/13/2017,9/3/2017,9,10,15814,9
Hudson Fire,Kern,1083,2017,1/9/2018,7/18/2017,7,175,13080,24
Buffalo Fire,San Diego,1088,2017,11/14/2017,10/17/2017,10,28,10892,19
Tarina Fire,Kern,1200,2017,1/9/2018,6/30/2017,6,193,13080,24
Latrobe Fire,Sacramento,1268,2017,1/9/2018,7/26/2017,7,167,1371,3
Caldwell Fire,Kern,1319,2017,1/9/2018,9/1/2017,9,130,13080,24
Opera Fire,Riverside,1350,2017,5/2/2017,4/30/2017,4,2,17013,52
Garden Fire,Kern,1350,2017,1/9/2018,7/30/2017,7,163,13080,24
Oakwood Fire,Madera,1417,2017,6/13/2017,6/10/2017,6,3,15814,9
Blaine Fire,Riverside,1500,2017,1/9/2018,8/13/2017,8,149,17013,52
Holcomb Fire,San Bernardino,1503,2017,6/29/2017,6/19/2017,6,10,4065,17
Highway Fire,Kern,1522,2017,6/28/2017,6/18/2017,6,10,13080,24
Derrick Fire,Fresno,1562,2017,1/9/2018,7/2/2017,7,191,21403,24
Hill Fire,San Luis Obispo,1626,2017,6/30/2017,6/26/2017,6,4,35496,24
Quail Fire,Kern,1626,2017,1/9/2018,7/6/2017,7,187,13080,24
Park Fire,Fresno,1649,2017,1/9/2018,7/17/2017,7,176,21403,24
37 Fire,Sonoma,1660,2017,10/13/2017,10/9/2017,10,4,100546,8
Winters Fire,Yolo,1700,2017,7/12/2017,7/6/2017,7,6,1700,1
Wright Fire,Merced,1733,2017,1/9/2018,5/12/2017,5,242,1745,2
Creek Fire,Stanislaus,1749,2017,1/9/2018,9/3/2017,9,128,7155,6
Parkfield Fire,Monterey,1816,2017,7/11/2017,7/8/2017,7,3,2212,14
Parkfield Fire,San Luis Obispo,1816,2017,7/11/2017,7/8/2017,7,3,35496,24
Gate Fire,San Diego,2056,2017,5/23/2017,5/20/2017,5,3,10892,19
Sulphur Fire (Mendocino Lake Complex),Lake,2207,2017,10/26/2017,10/9/2017,10,17,2775,8
Roadrunner Fire,Tulare,2289,2017,1/9/2018,7/30/2017,7,163,61147,11
Indian Fire,Tulare,2295,2017,1/9/2018,8/2/2017,8,160,61147,11
I-5 Fire,Kings,2312,2017,1/9/2018,8/24/2017,8,138,50992,3
Eureka Fire,Plumas,2575,2017,1/9/2018,9/5/2017,9,126,8170,5
Canyon Fire,Orange,2662,2017,3/28/2018,9/25/2017,9,184,11879,2
Hawk Fire,Kern,2940,2017,1/9/2018,7/7/2017,7,186,13080,24
Young Fire,Siskiyou,3142,2017,8/28/2017,8/7/2017,8,21,215695,14
Palmer Fire,Riverside,3800,2017,9/6/2017,9/2/2017,9,4,17013,52
Ponderosa Fire,Butte,4016,2017,9/9/2017,8/29/2017,8,11,25701,17
Lilac Fire,San Diego,4088,2017,1/9/2018,12/7/2017,12,33,10892,19
Minerva Fire,Plumas,4310,2017,1/9/2018,7/29/2017,7,164,8170,5
Jayne Fire,Fresno,4532,2017,4/21/2017,4/20/2017,4,1,21403,24
Ruth Complex,Trinity,4736,2017,1/9/2018,8/7/2017,8,155,40211,6
Summit Complex,Stanislaus,5247,2017,1/9/2018,7/31/2017,7,162,7155,6
Wall Fire,Butte,6033,2017,7/17/2017,7/7/2017,7,10,25701,17
Mud Fire,Lassen,6042,2017,9/1/2017,8/29/2017,8,3,110006,7
Rye Fire,Los Angeles,6049,2017,1/18/2018,12/5/2017,12,44,31240,13
LaPorte Fire (Wind Complex),Butte,6151,2017,10/18/2017,10/9/2017,10,9,25701,17
Manzanita Fire,Riverside,6309,2017,7/30/2017,6/26/2017,6,34,17013,52
South Fork Fire,Mariposa,7000,2017,11/27/2017,8/14/2017,8,105,98634,11
La Tuna Fire,Los Angeles,7194,2017,9/9/2017,9/1/2017,9,8,31240,13
Parker 2 Fire,Modoc,7697,2017,8/29/2017,8/3/2017,8,26,9161,8
Empire Fire,Mariposa,8094,2017,11/27/2017,8/1/2017,8,118,98634,11
Partrick Fire (Central LNU Complex),Napa,8283,2017,10/30/2017,10/8/2017,10,22,141423,6
Cherokee Fire,Butte,8500,2017,10/16/2017,10/8/2017,10,8,25701,17
Slinkard Fire,Mono,8925,2017,9/12/2017,8/29/2017,8,14,9295,2
Canyon 2 Fire,Orange,9217,2017,10/17/2017,10/9/2017,10,8,11879,2
Cascade Fire (Wind Complex),Yuba,9989,2017,10/18/2017,10/8/2017,10,10,10981,6
Elm Fire,Fresno,10345,2017,5/21/2017,5/18/2017,5,3,21403,24
Railroad Fire,Madera,12407,2017,10/24/2017,8/29/2017,8,56,15814,9
Buck Fire,Trinity,13417,2017,11/20/2017,9/12/2017,9,69,40211,6
Creek Fire,Los Angeles,15619,2017,1/9/2018,12/5/2017,12,35,31240,13
Pocket Fire (Central LNU Complex),Sonoma,17357,2017,10/31/2017,10/9/2017,10,22,100546,8
Whittier Fire,Santa Barbara,18430,2017,10/5/2017,7/8/2017,7,89,301035,7
R-4 Fire,Lassen,18618,2017,1/9/2018,8/30/2017,8,132,110006,7
Lion Fire,Tulare,18900,2017,12/2/2017,9/27/2017,9,66,61147,11
Helena - Fork Fire,Trinity,21846,2017,11/15/2017,8/30/2017,8,77,40211,6
Orleans Complex,Siskiyou,27276,2017,9/26/2017,7/26/2017,7,62,215695,14
Alamo Fire,San Luis Obispo,28687,2017,7/19/2017,7/6/2017,7,13,35496,24
Redwood Valley Fire (Mendocino Lake Complex),Mendocino,36523,2017,10/28/2017,10/8/2017,10,20,37589,4
Pier Fire,Tulare,36556,2017,11/29/2017,8/29/2017,8,92,61147,11
Tubbs Fire (Central LNU Complex),Napa,36807,2017,10/31/2017,10/8/2017,10,23,141423,6
Tubbs Fire (Central LNU Complex),Sonoma,36807,2017,10/31/2017,10/8/2017,10,23,100546,8
